"Region, subregion, country or area",2019
WORLD,"55,7"
More developed regions,"78,9"
Less developed regions,"51,2"
Least developed countries,"34,1"
"Less developed regions, excluding least developed countries","54,5"
"Less developed regions, excluding China","48,4"
High-income countries,"81,7"
Middle-income countries,"53,2"
Upper-middle-income countries,"67,4"
Lower-middle-income countries,"41,1"
Low-income countries,"32,7"
Sub-Saharan Africa,"40,9"
AFRICA,43
Eastern Africa,"28,5"
Burundi,"13,4"
Comoros,"29,2"
Djibouti,"77,9"
Eritrea,"40,7"
Ethiopia,"21,2"
Kenya,"27,5"
Madagascar,"37,9"
Malawi,"17,2"
Mauritius,"40,8"
Mayotte,"45,9"
Mozambique,"36,5"
Réunion,"99,6"
Rwanda,"17,3"
Seychelles,"57,1"
Somalia,"45,6"
South Sudan,"19,9"
Uganda,"24,4"
United Republic of Tanzania,"34,5"
Zambia,"44,1"
Zimbabwe,"32,2"
Middle Africa,"50,1"
Angola,"66,2"
Cameroon,57
Central African Republic,"41,8"
Chad,"23,3"
Congo,"67,4"
Democratic Republic of the Congo,45
Equatorial Guinea,"72,6"
Gabon,"89,7"
Sao Tome and Principe,"73,6"
Northern Africa,"52,2"
Algeria,"73,2"
Egypt,"42,7"
Libya,"80,4"
Morocco,63
Sudan,"34,9"
Tunisia,"69,3"
Western Sahara,"86,8"
Southern Africa,"64,1"
Botswana,"70,2"
Lesotho,"28,6"
Namibia,51
South Africa,"66,9"
Swaziland,24
Western Africa,47
Benin,"47,9"
Burkina Faso,30
Cabo Verde,"66,2"
Côte d'Ivoire,"51,2"
Gambia,"61,9"
Ghana,"56,7"
Guinea,"36,5"
Guinea-Bissau,"43,8"
Liberia,"51,6"
Mali,"43,1"
Mauritania,"54,5"
Niger,"16,5"
Nigeria,"51,2"
Saint Helena,"39,9"
Senegal,"47,7"
Sierra Leone,"42,5"
Togo,"42,2"
ASIA,"50,5"
Eastern Asia,"63,9"
China,"60,3"
"China, Hong Kong SAR",100
"China, Macao SAR",100
"China, Taiwan Province of China","78,6"
Dem. People's Republic of Korea,"62,1"
Japan,"91,7"
Mongolia,"68,5"
Republic of Korea,"81,4"
South-Central Asia,"36,6"
Central Asia,"48,2"
Kazakhstan,"57,5"
Kyrgyzstan,"36,6"
Tajikistan,"27,3"
Turkmenistan,52
Uzbekistan,"50,4"
Southern Asia,"36,2"
Afghanistan,"25,8"
Bangladesh,"37,4"
Bhutan,"41,6"
India,"34,5"
Iran (Islamic Republic of),"75,4"
Maldives,"40,2"
Nepal,"20,2"
Pakistan,"36,9"
Sri Lanka,"18,6"
South-Eastern Asia,"49,4"
Brunei Darussalam,"77,9"
Cambodia,"23,8"
Indonesia,56
Lao People's Democratic Republic,"35,6"
Malaysia,"76,6"
Myanmar,"30,9"
Philippines,"47,1"
Singapore,100
Thailand,"50,7"
Timor-Leste,"30,9"
Viet Nam,"36,6"
Western Asia,72
Armenia,"63,2"
Azerbaijan,56
Bahrain,"89,4"
Cyprus,"66,8"
Georgia,59
Iraq,"70,7"
Israel,"92,5"
Jordan,"91,2"
Kuwait,100
Lebanon,"88,8"
Oman,"85,4"
Qatar,"99,2"
Saudi Arabia,"84,1"
State of Palestine,"76,4"
Syrian Arab Republic,"54,8"
Turkey,"75,6"
United Arab Emirates,"86,8"
Yemen,"37,3"
EUROPE,"74,7"
Eastern Europe,"69,8"
Belarus,79
Bulgaria,"75,3"
Czechia,"73,9"
Hungary,"71,6"
Poland,60
Republic of Moldova,"42,7"
Romania,"54,1"
Russian Federation,"74,6"
Slovakia,"53,7"
Ukraine,"69,5"
Northern Europe,"82,4"
Channel Islands,"30,9"
Denmark,88
Estonia,"69,1"
Faeroe Islands,"42,2"
Finland,"85,4"
Iceland,"93,9"
Ireland,"63,4"
Isle of Man,"52,7"
Latvia,"68,2"
Lithuania,"67,9"
Norway,"82,6"
