Entity,Code,Year,Share of deaths,"Region, subregion, country or area",PercentageUrban,2019_qcut
Afghanistan,AFG,2019,16.609505,Afghanistan,25.8,low
Albania,ALB,2019,9.543016,Albania,61.2,medium-low
Algeria,DZA,2019,10.728213,Algeria,73.2,medium-high
American Samoa,ASM,2019,3.5189402,American Samoa,87.1,high
Andorra,AND,2019,2.1717396,Andorra,88.0,high
Angola,AGO,2019,9.524946,Angola,66.2,medium-high
Antigua and Barbuda,ATG,2019,4.8870273,Antigua and Barbuda,24.5,low
Argentina,ARG,2019,3.9129262,Argentina,92.0,high
Armenia,ARM,2019,11.371826,Armenia,63.2,medium-high
Australia,AUS,2019,1.1128302,Australia,86.1,high
Austria,AUT,2019,3.2155223,Austria,58.5,medium-low
Azerbaijan,AZE,2019,10.869016,Azerbaijan,56.0,medium-low
Bahamas,BHS,2019,3.7098455,Bahamas,83.1,high
Bahrain,BHR,2019,14.672168,Bahrain,89.4,high
Bangladesh,BGD,2019,20.328232,Bangladesh,37.4,low
Barbados,BRB,2019,5.460702,Barbados,31.2,low
Belarus,BLR,2019,6.77795,Belarus,79.0,medium-high
Belgium,BEL,2019,3.3124945,Belgium,98.0,high
Belize,BLZ,2019,6.7917266,Belize,45.9,medium-low
Benin,BEN,2019,15.1682005,Benin,47.9,medium-low
Bermuda,BMU,2019,1.6331385,Bermuda,100.0,high
Bhutan,BTN,2019,16.152782,Bhutan,41.6,low
Bosnia and Herzegovina,BIH,2019,12.3605795,Bosnia and Herzegovina,48.6,medium-low
Botswana,BWA,2019,8.91193,Botswana,70.2,medium-high
Brazil,BRA,2019,4.276102,Brazil,86.8,high
Bulgaria,BGR,2019,8.5033045,Bulgaria,75.3,medium-high
Burkina Faso,BFA,2019,15.18908,Burkina Faso,30.0,low
Burundi,BDI,2019,16.005333,Burundi,13.4,low
Cambodia,KHM,2019,16.547619,Cambodia,23.8,low
Cameroon,CMR,2019,12.741659,Cameroon,57.0,medium-low
Canada,CAN,2019,1.4996628,Canada,81.5,high
Central African Republic,CAF,2019,13.727325,Central African Republic,41.8,low
Chad,TCD,2019,16.061754,Chad,23.3,low
Chile,CHL,2019,5.413514,Chile,87.6,high
China,CHN,2019,16.696108,China,60.3,medium-low
Colombia,COL,2019,6.318576,Colombia,81.1,high
Comoros,COM,2019,13.222562,Comoros,29.2,low
Congo,COG,2019,11.329252,Congo,67.4,medium-high
Cook Islands,COK,2019,2.2750185,Cook Islands,75.3,medium-high
Costa Rica,CRI,2019,4.38254,Costa Rica,80.1,medium-high
Croatia,HRV,2019,6.2461486,Croatia,57.2,medium-low
Cuba,CUB,2019,5.713206,Cuba,77.1,medium-high
Cyprus,CYP,2019,5.0202208,Cyprus,66.8,medium-high
Czechia,CZE,2019,5.6198144,Czechia,73.9,medium-high
Denmark,DNK,2019,2.5983975,Denmark,88.0,high
Djibouti,DJI,2019,9.8612,Djibouti,77.9,medium-high
Dominica,DMA,2019,4.90055,Dominica,70.8,medium-high
Dominican Republic,DOM,2019,6.796193,Dominican Republic,81.8,high
Ecuador,ECU,2019,5.2422624,Ecuador,64.0,medium-high
Egypt,EGY,2019,15.600813,Egypt,42.7,low
El Salvador,SLV,2019,6.478802,El Salvador,72.7,medium-high
Equatorial Guinea,GNQ,2019,8.681862,Equatorial Guinea,72.6,medium-high
Eritrea,ERI,2019,13.909909,Eritrea,40.7,low
Estonia,EST,2019,1.2464755,Estonia,69.1,medium-high
Ethiopia,ETH,2019,15.057564,Ethiopia,21.2,low
Fiji,FJI,2019,8.0805855,Fiji,56.8,medium-low
Finland,FIN,2019,0.73263884,Finland,85.4,high
France,FRA,2019,2.411587,France,80.7,high
Gabon,GAB,2019,8.373673,Gabon,89.7,high
Gambia,GMB,2019,16.4783,Gambia,61.9,medium-low
Georgia,GEO,2019,9.599961,Georgia,59.0,medium-low
Germany,DEU,2019,3.0334759,Germany,77.4,medium-high
Ghana,GHA,2019,13.248942,Ghana,56.7,medium-low
Greece,GRC,2019,4.890207,Greece,79.4,medium-high
Greenland,GRL,2019,1.5057914,Greenland,87.1,high
Grenada,GRD,2019,6.479728,Grenada,36.4,low
Guam,GUM,2019,3.1194901,Guam,94.9,high
Guatemala,GTM,2019,10.376927,Guatemala,51.4,medium-low
Guinea,GIN,2019,16.024248,Guinea,36.5,low
Guinea-Bissau,GNB,2019,16.432236,Guinea-Bissau,43.8,medium-low
Guyana,GUY,2019,7.0495276,Guyana,26.7,low
Haiti,HTI,2019,15.827504,Haiti,56.2,medium-low
Honduras,HND,2019,11.507948,Honduras,57.7,medium-low
Hungary,HUN,2019,6.5540886,Hungary,71.6,medium-high
Iceland,ISL,2019,0.90118796,Iceland,93.9,high
India,IND,2019,18.097055,India,34.5,low
Indonesia,IDN,2019,10.366579,Indonesia,56.0,medium-low
Iraq,IRQ,2019,14.995286,Iraq,70.7,medium-high
Ireland,IRL,2019,1.6819842,Ireland,63.4,medium-high
Israel,ISR,2019,5.124964,Israel,92.5,high
Italy,ITA,2019,4.2661047,Italy,70.7,medium-high
Jamaica,JAM,2019,6.016723,Jamaica,56.0,medium-low
Japan,JPN,2019,3.060241,Japan,91.7,high
Jordan,JOR,2019,9.813195,Jordan,91.2,high
Kazakhstan,KAZ,2019,8.671333,Kazakhstan,57.5,medium-low
Kenya,KEN,2019,10.926474,Kenya,27.5,low
Kiribati,KIR,2019,12.885006,Kiribati,54.8,medium-low
Kuwait,KWT,2019,14.88958,Kuwait,100.0,high
Kyrgyzstan,KGZ,2019,12.572305,Kyrgyzstan,36.6,low
Latvia,LVA,2019,4.239611,Latvia,68.2,medium-high
Lebanon,LBN,2019,9.842846,Lebanon,88.8,high
Lesotho,LSO,2019,9.102214,Lesotho,28.6,low
Liberia,LBR,2019,13.6198635,Liberia,51.6,medium-low
Libya,LBY,2019,11.030859,Libya,80.4,medium-high
Lithuania,LTU,2019,3.2779295,Lithuania,67.9,medium-high
Luxembourg,LUX,2019,2.4599354,Luxembourg,91.2,high
Madagascar,MDG,2019,16.664843,Madagascar,37.9,low
Malawi,MWI,2019,13.109669,Malawi,17.2,low
Malaysia,MYS,2019,6.1238647,Malaysia,76.6,medium-high
Maldives,MDV,2019,5.5576234,Maldives,40.2,low
Mali,MLI,2019,14.176149,Mali,43.1,medium-low
Malta,MLT,2019,4.1736517,Malta,94.7,high
Marshall Islands,MHL,2019,8.187325,Marshall Islands,77.4,medium-high
Mauritania,MRT,2019,13.30946,Mauritania,54.5,medium-low
Mauritius,MUS,2019,5.5777016,Mauritius,40.8,low
Mexico,MEX,2019,6.6507077,Mexico,80.4,medium-high
Monaco,MCO,2019,3.1150393,Monaco,100.0,high
Mongolia,MNG,2019,13.067182,Mongolia,68.5,medium-high
Montenegro,MNE,2019,10.334127,Montenegro,67.2,medium-high
Morocco,MAR,2019,12.381488,Morocco,63.0,medium-low
Mozambique,MOZ,2019,12.583029,Mozambique,36.5,low
Myanmar,MMR,2019,18.156124,Myanmar,30.9,low
Namibia,NAM,2019,9.470348,Namibia,51.0,medium-low
Nauru,NRU,2019,2.398254,Nauru,100.0,high
Nepal,NPL,2019,23.133001,Nepal,20.2,low
Netherlands,NLD,2019,3.1293,Netherlands,91.9,high
New Zealand,NZL,2019,0.9660047,New Zealand,86.6,high
Nicaragua,NIC,2019,9.967102,Nicaragua,58.8,medium-low
Niger,NER,2019,17.699299,Niger,16.5,low
Nigeria,NGA,2019,12.561923,Nigeria,51.2,medium-low
Niue,NIU,2019,2.8125322,Niue,45.5,medium-low
Northern Mariana Islands,MNP,2019,4.3415065,Northern Mariana Islands,91.7,high
Norway,NOR,2019,1.1047429,Norway,82.6,high
Oman,OMN,2019,14.158104,Oman,85.4,high
Pakistan,PAK,2019,16.882307,Pakistan,36.9,low
Palau,PLW,2019,1.9936028,Palau,80.5,medium-high
Panama,PAN,2019,4.181566,Panama,68.1,medium-high
Papua New Guinea,PNG,2019,20.030819,Papua New Guinea,13.3,low
Paraguay,PRY,2019,6.9120026,Paraguay,61.9,medium-low
Peru,PER,2019,7.5373335,Peru,78.1,medium-high
Philippines,PHL,2019,12.095477,Philippines,47.1,medium-low
Poland,POL,2019,7.4299574,Poland,60.0,medium-low
Portugal,PRT,2019,2.003581,Portugal,65.8,medium-high
Puerto Rico,PRI,2019,1.297681,Puerto Rico,93.6,high
Qatar,QAT,2019,14.967405,Qatar,99.2,high
Romania,ROU,2019,6.3162856,Romania,54.1,medium-low
Rwanda,RWA,2019,15.072112,Rwanda,17.3,low
Saint Kitts and Nevis,KNA,2019,2.3217382,Saint Kitts and Nevis,30.8,low
Saint Lucia,LCA,2019,5.9146013,Saint Lucia,18.8,low
Saint Vincent and the Grenadines,VCT,2019,6.2914705,Saint Vincent and the Grenadines,52.6,medium-low
Samoa,WSM,2019,13.327135,Samoa,18.1,low
San Marino,SMR,2019,2.2001615,San Marino,97.4,high
Sao Tome and Principe,STP,2019,14.900057,Sao Tome and Principe,73.6,medium-high
Saudi Arabia,SAU,2019,14.74984,Saudi Arabia,84.1,high
Senegal,SEN,2019,14.765963,Senegal,47.7,medium-low
Serbia,SRB,2019,10.14162,Serbia,56.3,medium-low
Seychelles,SYC,2019,4.411889,Seychelles,57.1,medium-low
Sierra Leone,SLE,2019,15.469969,Sierra Leone,42.5,low
Singapore,SGP,2019,5.8047347,Singapore,100.0,high
Slovakia,SVK,2019,6.3187532,Slovakia,53.7,medium-low
Slovenia,SVN,2019,4.443596,Slovenia,54.8,medium-low
Solomon Islands,SLB,2019,22.54265,Solomon Islands,24.2,low
Somalia,SOM,2019,17.294561,Somalia,45.6,medium-low
South Africa,ZAF,2019,6.4122596,South Africa,66.9,medium-high
South Sudan,SSD,2019,13.24584,South Sudan,19.9,low
Spain,ESP,2019,2.6873534,Spain,80.6,medium-high
Sri Lanka,LKA,2019,10.097352,Sri Lanka,18.6,low
Sudan,SDN,2019,15.9512205,Sudan,34.9,low
Suriname,SUR,2019,6.8907795,Suriname,66.1,medium-high
Sweden,SWE,2019,0.81253004,Sweden,87.7,high
Switzerland,CHE,2019,2.3141341,Switzerland,73.8,medium-high
Tajikistan,TJK,2019,15.940316,Tajikistan,27.3,low
Thailand,THA,2019,7.889034,Thailand,50.7,medium-low
Togo,TGO,2019,14.80089,Togo,42.2,low
Tokelau,TKL,2019,1.9682573,Tokelau,0.0,low
Tonga,TON,2019,7.9879694,Tonga,23.1,low
Trinidad and Tobago,TTO,2019,7.2388487,Trinidad and Tobago,53.2,medium-low
Tunisia,TUN,2019,10.716591,Tunisia,69.3,medium-high
Turkey,TUR,2019,9.451574,Turkey,75.6,medium-high
Turkmenistan,TKM,2019,10.861875,Turkmenistan,52.0,medium-low
Tuvalu,TUV,2019,3.40602,Tuvalu,63.2,medium-high
Uganda,UGA,2019,13.576797,Uganda,24.4,low
Ukraine,UKR,2019,6.168804,Ukraine,69.5,medium-high
United Arab Emirates,ARE,2019,12.422841,United Arab Emirates,86.8,high
United Kingdom,GBR,2019,2.4022942,United Kingdom,83.7,high
United States Virgin Islands,VIR,2019,2.3520253,United States Virgin Islands,95.8,high
Uruguay,URY,2019,2.409878,Uruguay,95.4,high
Uzbekistan,UZB,2019,14.515069,Uzbekistan,50.4,medium-low
Vanuatu,VUT,2019,18.81157,Vanuatu,25.4,low
Yemen,YEM,2019,14.387698,Yemen,37.3,low
Zambia,ZMB,2019,11.249609,Zambia,44.1,medium-low
Zimbabwe,ZWE,2019,10.997446,Zimbabwe,32.2,low
