Entity,Code_x,Year_x,Share of deaths,"Region, subregion, country or area",PercentageUrban,2019_qcut,Code_y,Year_y,"GDP per capita (output, multiple price benchmarks)",GDP Categories
Albania,ALB,2019,9.543016,Albania,61.2,medium-low,ALB,2019,12531.788,medium GDP
Algeria,DZA,2019,10.728213,Algeria,73.2,medium-high,DZA,2019,11787.492,medium GDP
Angola,AGO,2019,9.524946,Angola,66.2,medium-high,AGO,2019,7159.579,low GDP
Argentina,ARG,2019,3.9129262,Argentina,92.0,high,ARG,2019,21826.838,medium GDP
Armenia,ARM,2019,11.371826,Armenia,63.2,medium-high,ARM,2019,14735.138,medium GDP
Australia,AUS,2019,1.1128302,Australia,86.1,high,AUS,2019,54147.008,high GDP
Austria,AUT,2019,3.2155223,Austria,58.5,medium-low,AUT,2019,53344.508,high GDP
Azerbaijan,AZE,2019,10.869016,Azerbaijan,56.0,medium-low,AZE,2019,15858.924,medium GDP
Bahamas,BHS,2019,3.7098455,Bahamas,83.1,high,BHS,2019,33088.543,high GDP
Bahrain,BHR,2019,14.672168,Bahrain,89.4,high,BHR,2019,46964.977,high GDP
Bangladesh,BGD,2019,20.328232,Bangladesh,37.4,low,BGD,2019,4658.01,low GDP
Barbados,BRB,2019,5.460702,Barbados,31.2,low,BRB,2019,12217.291,medium GDP
Belarus,BLR,2019,6.77795,Belarus,79.0,medium-high,BLR,2019,21665.938,medium GDP
Belgium,BEL,2019,3.3124945,Belgium,98.0,high,BEL,2019,44839.68,high GDP
Belize,BLZ,2019,6.7917266,Belize,45.9,medium-low,BLZ,2019,5602.4204,low GDP
Benin,BEN,2019,15.1682005,Benin,47.9,medium-low,BEN,2019,3245.0645,low GDP
Bermuda,BMU,2019,1.6331385,Bermuda,100.0,high,BMU,2019,51003.266,high GDP
Bhutan,BTN,2019,16.152782,Bhutan,41.6,low,BTN,2019,11778.3955,medium GDP
Bosnia and Herzegovina,BIH,2019,12.3605795,Bosnia and Herzegovina,48.6,medium-low,BIH,2019,13795.342,medium GDP
Botswana,BWA,2019,8.91193,Botswana,70.2,medium-high,BWA,2019,16484.375,medium GDP
Brazil,BRA,2019,4.276102,Brazil,86.8,high,BRA,2019,14593.961,medium GDP
Bulgaria,BGR,2019,8.5033045,Bulgaria,75.3,medium-high,BGR,2019,21347.125,medium GDP
Burkina Faso,BFA,2019,15.18908,Burkina Faso,30.0,low,BFA,2019,2120.1392,low GDP
Burundi,BDI,2019,16.005333,Burundi,13.4,low,BDI,2019,790.046,low GDP
Cambodia,KHM,2019,16.547619,Cambodia,23.8,low,KHM,2019,4500.0527,low GDP
Cameroon,CMR,2019,12.741659,Cameroon,57.0,medium-low,CMR,2019,3651.4968,low GDP
Canada,CAN,2019,1.4996628,Canada,81.5,high,CAN,2019,49884.055,high GDP
Central African Republic,CAF,2019,13.727325,Central African Republic,41.8,low,CAF,2019,978.34937,low GDP
Chad,TCD,2019,16.061754,Chad,23.3,low,TCD,2019,1615.0825,low GDP
Chile,CHL,2019,5.413514,Chile,87.6,high,CHL,2019,23252.557,medium GDP
China,CHN,2019,16.696108,China,60.3,medium-low,CHN,2019,14128.812,medium GDP
Colombia,COL,2019,6.318576,Colombia,81.1,high,COL,2019,14057.756,medium GDP
Comoros,COM,2019,13.222562,Comoros,29.2,low,COM,2019,3208.8936,low GDP
Congo,COG,2019,11.329252,Congo,67.4,medium-high,COG,2019,4657.116,low GDP
Costa Rica,CRI,2019,4.38254,Costa Rica,80.1,medium-high,CRI,2019,18522.178,medium GDP
Croatia,HRV,2019,6.2461486,Croatia,57.2,medium-low,HRV,2019,26001.002,high GDP
Cyprus,CYP,2019,5.0202208,Cyprus,66.8,medium-high,CYP,2019,32301.82,high GDP
Czechia,CZE,2019,5.6198144,Czechia,73.9,medium-high,CZE,2019,37521.227,high GDP
Denmark,DNK,2019,2.5983975,Denmark,88.0,high,DNK,2019,54027.15,high GDP
Djibouti,DJI,2019,9.8612,Djibouti,77.9,medium-high,DJI,2019,6132.4233,low GDP
Dominica,DMA,2019,4.90055,Dominica,70.8,medium-high,DMA,2019,10327.737,medium GDP
Dominican Republic,DOM,2019,6.796193,Dominican Republic,81.8,high,DOM,2019,17926.738,medium GDP
Ecuador,ECU,2019,5.2422624,Ecuador,64.0,medium-high,ECU,2019,11235.628,medium GDP
Egypt,EGY,2019,15.600813,Egypt,42.7,low,EGY,2019,12059.8955,medium GDP
El Salvador,SLV,2019,6.478802,El Salvador,72.7,medium-high,SLV,2019,8116.269,low GDP
Equatorial Guinea,GNQ,2019,8.681862,Equatorial Guinea,72.6,medium-high,GNQ,2019,24712.76,medium GDP
Estonia,EST,2019,1.2464755,Estonia,69.1,medium-high,EST,2019,33852.387,high GDP
Ethiopia,ETH,2019,15.057564,Ethiopia,21.2,low,ETH,2019,2720.7412,low GDP
Fiji,FJI,2019,8.0805855,Fiji,56.8,medium-low,FJI,2019,13753.734,medium GDP
Finland,FIN,2019,0.73263884,Finland,85.4,high,FIN,2019,44928.516,high GDP
France,FRA,2019,2.411587,France,80.7,high,FRA,2019,43755.062,high GDP
Gabon,GAB,2019,8.373673,Gabon,89.7,high,GAB,2019,15492.227,medium GDP
Gambia,GMB,2019,16.4783,Gambia,61.9,medium-low,GMB,2019,2408.8591,low GDP
Georgia,GEO,2019,9.599961,Georgia,59.0,medium-low,GEO,2019,17055.666,medium GDP
Germany,DEU,2019,3.0334759,Germany,77.4,medium-high,DEU,2019,51190.89,high GDP
Ghana,GHA,2019,13.248942,Ghana,56.7,medium-low,GHA,2019,5363.2695,low GDP
Greece,GRC,2019,4.890207,Greece,79.4,medium-high,GRC,2019,27201.492,high GDP
Grenada,GRD,2019,6.479728,Grenada,36.4,low,GRD,2019,15374.282,medium GDP
Guatemala,GTM,2019,10.376927,Guatemala,51.4,medium-low,GTM,2019,7769.828,low GDP
Guinea,GIN,2019,16.024248,Guinea,36.5,low,GIN,2019,2286.8052,low GDP
Guinea-Bissau,GNB,2019,16.432236,Guinea-Bissau,43.8,medium-low,GNB,2019,1850.2985,low GDP
Guyana,GUY,2019,7.0495276,Guyana,26.7,low,GUY,2019,13010.421,medium GDP
Haiti,HTI,2019,15.827504,Haiti,56.2,medium-low,HTI,2019,1554.0212,low GDP
Honduras,HND,2019,11.507948,Honduras,57.7,medium-low,HND,2019,5428.0635,low GDP
